2,,назва,,ціна долар,ціна грн.,,,ціна для продажу,Опт.,ціна для продажу 2 (50%),ціна для продажу 3 (45%),ціна для продажу 4 (30%),,,,,,,,,,
3,10057,Экструдер боуден Dual Drive для Ender 3 V2/Pro/CR10/Mega S/Tevo Tornado Wanhao D9/Anet A8 A8+ Prusa I3,,5,210,"262,5","362,25","335,16",294,"301,644",315,"353,9025","355,55625","106,4450625",https://www.aliexpress.com/item/1005005913560291.html?spm=a2g0o.order_detail.order_detail_item.3.4a15f19cSz6c2g,,,,,,,
2,10058,E3D-V6 J-head Hotend 1.75MM Filament 0.4MM High quality brass dot nozzle direct Distance For Voron2.4 3D Pri nter,,"6,83","286,86","358,575","494,8335","457,82856","401,604","412,045704","430,29","483,430815","485,6898375","145,4039554",https://www.aliexpress.com/item/1005005987590410.html?spm=a2g0o.order_list.order_list_main.428.21ef18029ERKCZ,,,,,,,
,10059,Хотенд MK8 24V 40W для Anet A2 A8 ,,"4,1","172,2","215,25","297,045","274,8312","241,08","247,34808","258,3","290,20005","291,556125","87,28495125",https://www.aliexpress.com/item/1005004937192267.html?spm=a2g0o.order_detail.order_detail_item.3.4322f19c8Il9Gc,,,,,,,
,10060,Хотенд з радіатором E3D V6 +нагрівач і термістор + силіконовий носок (без трубки),,"3,5425","148,785","185,98125","256,654125","237,46086","208,299","213,714774","223,1775","250,7399213","251,9116031","75,41632678",https://www.aliexpress.com/item/1005003651646732.html?spm=a2g0o.order_detail.order_detail_item.3.396df19cxjM7sw,,,,,,,
,10061,Хотенд з радіатором MK8  для Ender 3 CR10 + силіконовий носок,,"3,45","144,9","181,125","249,9525","231,2604","202,86","208,13436","217,35","244,192725","245,3338125","73,44709313",https://www.aliexpress.com/item/4001157498360.html?spm=a2g0o.order_detail.order_detail_item.3.57adf19ctLM2Bm,,,,,,,
,10062,Creality Official Ender 3 Bed Ultra-Flexible Removable Magnetic Removable Build Surface Hotbed Cover Print Platform Kit 235x235,,"9,68","406,56","508,2","701,316","648,86976","569,184","583,982784","609,84","685,15524","688,3569","206,077641",https://www.aliexpress.com/item/1005005996575683.html?spm=a2g0o.order_detail.order_detail_item.3.245af19cgVZN5b,,,,,,,
,10063,хотенд з радіатором і кулером V6 J-head 24 V (боуден),,"9,7","407,4","509,25","702,765","650,2104","570,36","585,18936","611,1","686,57085","689,779125","206,5034213",https://www.aliexpress.com/item/4000945151792.html?spm=a2g0o.order_detail.order_detail_item.7.17c7f19cAFfoNw,,,,,,,
,10064,Хотенд для CREALITY Ender-5 S1 титановий сплав + мідне грло,,21,882,"1102,5","1521,45","1407,672","1234,8","1266,9048",1323,"1486,3905","1493,33625","447,0692625",https://www.aliexpress.com/item/1005004457429520.html?spm=a2g0o.order_detail.order_detail_item.4.60bdf19c6fVHKs,,,,,,,
,10065,Високотемпературний хотенд 300℃ для 3d принтерів Ender-3 S1 CR-10 Smart Pro Printer зі Sprite Extruder,,"6,46","271,32","339,15","468,027","433,02672","379,848","389,724048","406,98","457,24203","68,37264","2,17056","0,0064",,,,,,,
,10066,"Хотанд для 3d принтера Anycubic Kobra 2, Kobra 2 Plus / Kobra 2 Pro/ Kobra 2 Neo",,"3,5",147,"183,75","253,575","234,612","205,8","211,1508","220,5","247,73175","248,889375","74,51154375","195,51","175,959","28,959","0,1481203008",,,,
,10067,Хотанд для 3d принтера Anycubic Vyper з радіатором,,"5,37","225,54","281,925","389,0565","359,96184","315,756","323,965656","338,31","380,091285","381,8674125","114,3219971",,,,,,,,
,10068,Хотенд для 3d принтера Anycubic Chiron з радіатором,,"5,18","217,56","271,95","375,291","347,22576","304,584","312,503184","326,34","366,64299","368,356275","110,2770848",,,,,,,,
,10069,Хотенд для 3d принтера Ender 3 CR10 з радіатором,,4,168,210,"289,8","268,128","235,2","241,3152",252,"283,122","284,445","85,15605","135,55605",,,,,,,
,10070,Дірект екструдер для Ender 3 / Ender-3 Pro з оновленим двигуном  з кареткою і шлейфом,,30,1260,1575,"2173,5","2010,96",1764,"1809,864",1890,"2123,415","2133,3375","638,670375","1675,8","1508,22","248,22","0,1481203008",,,,
,10071,Хотенд для 3d принтера Artillery Sidewinder X1/X2 Genius + силіконовий носок,,"4,46","187,32","234,15","323,127","298,96272","262,248","269,066448","280,98","315,68103","317,156175","94,94899575","0,2993761536",,,,,,,
,10072,"Латунні сопла MK8, 0,2 мм, головки екструдера для 3d принтера, сопла для фаламенту 1,75 мм",,"0,28","11,76","14,7","20,286","18,76896","16,464","16,892064","17,64","19,81854","19,91115","5,9609235",,,,,,,,
,10073,Хотенд для 3d принтера For Elegoo Neptune 4/4 pro,,"3,8","159,6","199,5","275,31","254,7216","223,44","229,24944","239,4","268,9659","270,22275","80,8982475",https://www.aliexpress.com/item/1005006144216662.html?spm=a2g0o.order_list.order_list_main.527.21ef18026vICJL,,,,,,,
,10074,Екструдер Flying Bear з двигуном для 3d принтерів Ghost6 Reborn2 Aone2,,"28,5",1197,"1496,25","2064,825","1910,412","1675,8","1719,3708","1795,5","2078,515688","2026,670625","606,7368563",,,,,,,,
,10075,Покращений хотенд  24v 70w  E3D V6 Straight-type J-Head для Flying Bear 3d Printer Reborn 2,,"28,51","1197,42","1496,775","2065,5495","1911,08232","1676,388","1719,974088","1796,13","2017,952055","2027,381738","606,9497464",,,,,,,,
,10076,хотенд Flying Bear з радіатором до 3d принтера Aone 2 ,,11,462,"577,5","796,95","737,352","646,8","663,6168",693,"778,5855","782,22375","234,1791375","614,46","553,014","91,014","0,1481203008",,,,
,10077,Хотенд для 3d принтера Anet  ET4 / ET4X / ET4+ / ET4 Pro /  ET5 / ET5X / ET5 Pro,,9,378,"472,5","652,05","603,288","529,2","542,9592",567,"637,0245","640,00125","191,6011125",,,,,,,,
,10078,Хотенд з блоком обдуву для 3d принтера Ender 3,,"12,5",525,"656,25","905,625","837,9",735,"754,11","787,5","884,75625","888,890625","266,1126563",,,,,,,,
,10079,Хотенд для 3d принтера CR-6 SE ,,"9,5",399,"498,75","688,275","636,804","558,6","573,1236","598,5","672,41475","675,556875","202,2456188",,,,,,,,
,10080,"Хотенд для 3d принтера CR-6 SE  з радіатором, нагрівачем і термістором",,"7,9","331,8","414,75","572,355","529,5528","464,52","476,59752","497,7","559,16595","561,778875","168,1831988",,,,,,,,
,10081,"Металевий роликовий важіль Idler Arm Gear для екструдера   Prusa i3, Artillery Genius, Sidewinder X1 / X2",,"2,1","88,2","110,25","152,145","140,7672","123,48","126,69048","132,3","148,63905","149,333625","44,70692625",,,,,,,,
,10082,"покращений хотенд для Bambulab P1P / P1S (біметалеве горло, сопло із загартованої сталі)",,"10,74","451,08","563,85","778,113","719,92368","631,512","803,553912","676,62","496,188","763,734825","159,90786","558,45",5022,,,,,,
,10083,"покращений хотенд для Bambulab X1 X1C (біметалеве горло, сопло із загартованої сталі)",,"10,83","454,86","568,575","784,6335","725,95656","636,804","653,360904","682,29","766,552815","770,1348375","230,5600054",,,,,,,,
,10084,"цілком металевий дірект екструдер Space V2.0 з двогвинтовою подачею для voron 2.4  ender 3, обгрейдженого хотенда CR10",,17,714,"892,5","1231,65","1139,544","999,6","1025,5896",1071,"1203,2685","1208,89125","361,9132125",,,,,,,,
,10085,"Пружна пластина з двостороннім покриттям PEI, для 3d принтера Flyingbear Ghost 5 (214X275)",,"14,3","600,6","750,75","1036,035","958,5576","840,84","862,70184","900,9","1012,16115","1016,890875","304,4328788",,,,,,,,
,10086,високоякісні сопла для Ender 3 V3 SE /Ender 5 S1/ Ender 7,,"0,6","25,2","31,5","43,47","40,2192","35,28","36,19728","37,8","42,4683","42,66675","12,7734075",,,,,,,,
,10087,"Металевий  важіль Idler  із зубчастим роликом для екструдера Prusa i3, Artillery Genius, Sidewinder X1 / X2",,4,168,210,"289,8","268,128","235,2","241,3152",252,"283,122","284,445","85,15605","223,44","201,096","33,096","0,1481203008",,,,
,10088,Силіконовий килимок для 3d ручки,,"3,2","134,4",168,"231,84","214,5024","188,16","193,05216","201,6","226,4976","227,556","68,12484",,,,,,,,
,10089,Силіконовий теплоізолятор для  нагріваючого блоку E3D V5 J-head,,"0,414","17,388","21,735","29,9943","27,751248","24,3432","24,9761232","26,082","29,303127","29,4400575","8,813651175",,,,,,,,
,10090,Силіконовий термоізолятор для нагрівального блоку MK8,,"0,4","16,8",21,"28,98","26,8128","23,52","24,13152","25,2","28,3122","28,4445","8,515605",,,,,,,,
